,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,3,160,0,1,0735211299,9780735211292,Avery,,0.00,ATOMIC HABITS,James Clear,by James Clear,,https://storage.googleapis.com/du-prd/books/images/9780735211292.jpg,328,495,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
1,2,1,5,0,0,006322593X,9780063225930,Broadside,,0.00,FAITH STILL MOVES MOUNTAINS,Harris Faulkner,by Harris Faulkner,,https://storage.googleapis.com/du-prd/books/images/9780063225930.jpg,329,500,https://www.amazon.com/dp/006322593X?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
2,3,2,8,0,0,1984822780,9781984822789,Clarkson Potter,,0.00,GO-TO DINNERS,Ina Garten,by Ina Garten,,https://storage.googleapis.com/du-prd/books/images/9781984822789.jpg,375,500,https://www.amazon.com/dp/1984822780?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
3,4,4,2,0,1,1544534078,9781544534077,Lioncrest,,0.00,NEVER FINISHED,David Goggins,by David Goggins,,https://storage.googleapis.com/du-prd/books/images/9781544534077.jpg,333,500,https://www.amazon.com/dp/1544534078?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
4,5,5,159,0,0,0062976583,9780062976581,HarperOne,,0.00,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,by Charlie Mackesy,,https://storage.googleapis.com/du-prd/books/images/9780062976581.jpg,330,445,https://www.amazon.com/Boy-Mole-Fox-Horse/dp/0062976583?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
5,6,6,30,0,0,0593232550,9780593232552,Clarkson Potter,,0.00,HALF BAKED HARVEST EVERY DAY,Tieghan Gerard,by Tieghan Gerard,,https://storage.googleapis.com/du-prd/books/images/9780593232552.jpg,400,500,https://www.amazon.com/dp/0593232550?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
6,7,10,7,0,0,0063209233,9780063209237,Morrow,,0.00,THE SIMPLY HAPPY COOKBOOK,Steve Doocy and Kathy Doocy,by Steve Doocy and Kathy Doocy,,https://storage.googleapis.com/du-prd/books/images/9780063209237.jpg,400,500,https://www.amazon.com/dp/0063209233?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
7,8,7,6,0,0,1400333873,9781400333875,Harper Select,,0.00,THE STORIES WE TELL,Joanna Gaines,by Joanna Gaines,,https://storage.googleapis.com/du-prd/books/images/9781400333875.jpg,351,500,https://www.amazon.com/dp/1400333873?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
8,9,9,5,0,0,0593318781,9780593318782,Knopf,,0.00,SMITTEN KITCHEN KEEPERS,Deb Perelman,by Deb Perelman,,https://storage.googleapis.com/du-prd/books/images/9780593318782.jpg,433,500,https://www.amazon.com/dp/0593318781?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
9,10,8,277,0,1,0062457713,9780062457714,Harper,,0.00,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,by Mark Manson,,https://storage.googleapis.com/du-prd/books/images/9780062457714.jpg,330,495,http://www.amazon.com/Subtle-Art-Not-Giving-Counterintuitive/dp/0062457713?tag=NYTBSREV-20,,,,,,advice-how-to-and-miscellaneous,"[2023, 1, 1]",January
