,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,132,0,0,1492670022,9781492670025,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,0.00,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492670025.jpg,330,419,https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
1,2,3,20,0,0,1338790234,9781338790238,Scholastic,"When a young boy's favorite toy goes missing, it's Christmas Pig to the rescue!",0.00,THE CHRISTMAS PIG,J.K. Rowling.,by J.K. Rowling. Illustrated by Jim Field,Illustrated by Jim Field,https://storage.googleapis.com/du-prd/books/images/9781338790238.jpg,338,500,https://www.amazon.com/dp/1338790234?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
2,3,2,52,0,0,1492677698,9781492677697,Sourcebooks Explore,One hundred plus kid-tested baking recipes.,0.00,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492677697.jpg,330,421,https://www.amazon.com/Complete-Baking-Book-Young-Chefs/dp/1492677698?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
3,4,6,19,0,0,1338285262,9781338285260,Scholastic,Forty-three tasty recipes inspired by the Harry Potter films.,0.00,THE OFFICIAL HARRY POTTER BAKING BOOK,Joanna Farrow,by Joanna Farrow,,https://storage.googleapis.com/du-prd/books/images/9781338285260.jpg,404,500,https://www.amazon.com/dp/1338285262?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
4,5,4,13,0,0,1250147425,9781250147424,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",0.00,ODDER,Katherine Applegate.,by Katherine Applegate. Illustrated by Charles Santoso,Illustrated by Charles Santoso,https://storage.googleapis.com/du-prd/books/images/9781250147424.jpg,347,500,https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
5,6,5,11,0,0,1338735675,9781338735673,Scholastic,Four kids simultaneously experience three natural catastrophes due to climate change.,0.00,TWO DEGREES,Alan Gratz,by Alan Gratz,,https://storage.googleapis.com/du-prd/books/images/9781338735673.jpg,329,500,https://www.amazon.com/dp/1338735675?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
6,7,7,375,0,0,0375869026,9780375869020,Knopf,A boy with a facial deformity starts school.,0.00,WONDER,R.J. Palacio,by R.J. Palacio,,https://storage.googleapis.com/du-prd/books/images/9780375899881.jpg,329,495,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20,,,,https://www.nytimes.com/2012/04/08/books/review/wonder-by-r-j-palacio.html,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
7,8,8,202,0,0,0545880831,9780545880831,Scholastic,Three children in three different conflicts look for safe haven.,0.00,REFUGEE,Alan Gratz,by Alan Gratz,,https://storage.googleapis.com/du-prd/books/images/9780545880831.jpg,327,495,https://www.amazon.com/Refugee-Alan-Gratz/dp/0545880831?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
8,9,9,8,0,0,0316441864,9780316441865,"Little, Brown",Kofi's life is turned upside down after his brother accidentally kills a prince in a wresting match.,0.00,THE DOOR OF NO RETURN,Kwame Alexander,by Kwame Alexander,,https://storage.googleapis.com/du-prd/books/images/9780316441865.jpg,341,500,https://www.amazon.com/dp/0316441864?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
9,10,10,51,0,0,1368077927,9781368077927,Disney-Hyperion,Ana Dakkar faces the weekend trials at the Harding-Pencroft Academy.,0.00,DAUGHTER OF THE DEEP,Rick Riordan,by Rick Riordan,,https://storage.googleapis.com/du-prd/books/images/9781368077927.jpg,337,500,https://www.amazon.com/dp/1368077927?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 1]",January
10,1,1,133,0,0,1492670022,9781492670025,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,0.00,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492670025.jpg,330,419,https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
11,2,2,21,0,0,1338790234,9781338790238,Scholastic,"When a young boy's favorite toy goes missing, it's Christmas Pig to the rescue!",0.00,THE CHRISTMAS PIG,J.K. Rowling.,by J.K. Rowling. Illustrated by Jim Field,Illustrated by Jim Field,https://storage.googleapis.com/du-prd/books/images/9781338790238.jpg,338,500,https://www.amazon.com/dp/1338790234?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
12,3,3,53,0,0,1492677698,9781492677697,Sourcebooks Explore,One hundred plus kid-tested baking recipes.,0.00,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492677697.jpg,330,421,https://www.amazon.com/Complete-Baking-Book-Young-Chefs/dp/1492677698?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
13,4,4,20,0,0,1338285262,9781338285260,Scholastic,Forty-three tasty recipes inspired by the Harry Potter films.,0.00,THE OFFICIAL HARRY POTTER BAKING BOOK,Joanna Farrow,by Joanna Farrow,,https://storage.googleapis.com/du-prd/books/images/9781338285260.jpg,404,500,https://www.amazon.com/dp/1338285262?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
14,5,0,4,0,0,0593643461,9780593643464,Bright Matter,A look at the early history of humankind.,0.00,"UNSTOPPABLE US, VOL. 1",Yuval Noah Harari.,by Yuval Noah Harari. Illustrated by Ricard Zaplana Ruiz,Illustrated by Ricard Zaplana Ruiz,https://storage.googleapis.com/du-prd/books/images/9780593643464.jpg,342,500,https://www.amazon.com/dp/0593643461?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
15,6,6,12,0,0,1338735675,9781338735673,Scholastic,Four kids simultaneously experience three natural catastrophes due to climate change.,0.00,TWO DEGREES,Alan Gratz,by Alan Gratz,,https://storage.googleapis.com/du-prd/books/images/9781338735673.jpg,329,500,https://www.amazon.com/dp/1338735675?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
16,7,5,14,0,0,1250147425,9781250147424,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",0.00,ODDER,Katherine Applegate.,by Katherine Applegate. Illustrated by Charles Santoso,Illustrated by Charles Santoso,https://storage.googleapis.com/du-prd/books/images/9781250147424.jpg,347,500,https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
17,8,7,376,0,0,0375869026,9780375869020,Knopf,A boy with a facial deformity starts school.,0.00,WONDER,R.J. Palacio,by R.J. Palacio,,https://storage.googleapis.com/du-prd/books/images/9780375899881.jpg,329,495,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20,,,,https://www.nytimes.com/2012/04/08/books/review/wonder-by-r-j-palacio.html,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
18,9,10,52,0,0,1368077927,9781368077927,Disney-Hyperion,Ana Dakkar faces the weekend trials at the Harding-Pencroft Academy.,0.00,DAUGHTER OF THE DEEP,Rick Riordan,by Rick Riordan,,https://storage.googleapis.com/du-prd/books/images/9781368077927.jpg,337,500,https://www.amazon.com/dp/1368077927?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
19,10,9,9,0,0,0316441864,9780316441865,"Little, Brown",Kofi's life is turned upside down after his brother accidentally kills a prince in a wresting match.,0.00,THE DOOR OF NO RETURN,Kwame Alexander,by Kwame Alexander,,https://storage.googleapis.com/du-prd/books/images/9780316441865.jpg,341,500,https://www.amazon.com/dp/0316441864?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 8]",January
20,1,1,134,0,0,1492670022,9781492670025,Sourcebooks Jabberwocky,Over 100 kid-tested recipes from America's Test Kitchen.,0.00,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492670025.jpg,330,419,https://www.amazon.com/Complete-Cookbook-Young-Chefs/dp/1492670022?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
21,2,6,13,0,0,1338735675,9781338735673,Scholastic,Four kids simultaneously experience three natural catastrophes due to climate change.,0.00,TWO DEGREES,Alan Gratz,by Alan Gratz,,https://storage.googleapis.com/du-prd/books/images/9781338735673.jpg,329,500,https://www.amazon.com/dp/1338735675?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
22,3,7,15,0,0,1250147425,9781250147424,Feiwel & Friends,"After a shark attack, Odder recuperates at the aquarium with the scientists who raised her.",0.00,ODDER,Katherine Applegate.,by Katherine Applegate. Illustrated by Charles Santoso,Illustrated by Charles Santoso,https://storage.googleapis.com/du-prd/books/images/9781250147424.jpg,347,500,https://www.amazon.com/dp/1250147425?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
23,4,5,5,0,0,0593643461,9780593643464,Bright Matter,A look at the early history of humankind.,0.00,"UNSTOPPABLE US, VOL. 1",Yuval Noah Harari.,by Yuval Noah Harari. Illustrated by Ricard Zaplana Ruiz,Illustrated by Ricard Zaplana Ruiz,https://storage.googleapis.com/du-prd/books/images/9780593643464.jpg,342,500,https://www.amazon.com/dp/0593643461?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
24,5,3,54,0,0,1492677698,9781492677697,Sourcebooks Explore,One hundred plus kid-tested baking recipes.,0.00,THE COMPLETE BAKING BOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,by America's Test Kitchen Kids,,https://storage.googleapis.com/du-prd/books/images/9781492677697.jpg,330,421,https://www.amazon.com/Complete-Baking-Book-Young-Chefs/dp/1492677698?tag=NYTBSREV-20,,,,,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
25,6,8,377,0,0,0375869026,9780375869020,Knopf,A boy with a facial deformity starts school.,0.00,WONDER,R.J. Palacio,by R.J. Palacio,,https://storage.googleapis.com/du-prd/books/images/9780375899881.jpg,329,495,http://www.amazon.com/Wonder-R-J-Palacio-ebook/dp/B0051ANPZQ?tag=NYTBSREV-20,,,,https://www.nytimes.com/2012/04/08/books/review/wonder-by-r-j-palacio.html,,childrens-middle-grade-hardcover,"[2023, 1, 15]",January
