,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,9,0,0,1668001225,9781668001226,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",0.00,IT STARTS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg,322,500,https://www.amazon.com/dp/1668001225?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
1,2,2,79,0,0,1501110365,9781501110368,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,0.00,IT ENDS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,319,495,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
2,3,3,6,0,0,038554734X,9780385547345,Doubleday,A scientist and single mother living in California in the 1960s becomes a star on a TV cooking show.,0.00,LESSONS IN CHEMISTRY,Bonnie Garmus,by Bonnie Garmus,,https://storage.googleapis.com/du-prd/books/images/9780385547345.jpg,328,500,https://www.amazon.com/dp/038554734X?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
3,4,4,54,0,0,1538724731,9781538724736,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,0.00,VERITY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,324,500,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
4,5,5,9,0,0,0385548923,9780385548922,Doubleday,"Two childhood friends follow in their fathers’ footsteps, which puts them on opposite sides of the law.",0.00,THE BOYS FROM BILOXI,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385548922.jpg,329,500,https://www.amazon.com/dp/0385548923?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
5,6,7,15,0,0,1668002175,9781668002179,Scribner,A high school kid inherits a shed that is a portal to another world where good and evil are at war.,0.00,FAIRY TALE,Stephen King,by Stephen King,,https://storage.googleapis.com/du-prd/books/images/9781668002179.jpg,329,500,https://www.amazon.com/dp/1668002175?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
6,7,9,191,0,0,0735219109,9780735219106,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",0.00,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,328,495,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
7,8,10,49,0,0,1476753180,9781476753188,Atria,"Tate Collins and Miles Archer, an airline pilot, think they can handle a no strings attached arrangement. But they can't.",0.00,UGLY LOVE,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,128,198,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
8,9,11,6,0,0,0063251922,9780063251922,Harper,A reimagining of Charles Dickens’s “David Copperfield” set in the mountains of southern Appalachia.,0.00,DEMON COPPERHEAD,Barbara Kingsolver,by Barbara Kingsolver,,https://storage.googleapis.com/du-prd/books/images/9780063251922.jpg,329,500,https://www.amazon.com/dp/0063251922?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
9,10,12,76,0,0,1501161938,9781501161933,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,0.00,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,315,500,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-fiction,"[2023, 1, 1]",January
