,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,5,0,0,0593237463,9780593237465,Crown,The former first lady shares personal stories and the tools she uses to deal with difficult situations.,0.00,THE LIGHT WE CARRY,Michelle Obama,by Michelle Obama,,https://storage.googleapis.com/du-prd/books/images/9780593237465.jpg,329,500,https://www.amazon.com/dp/0593237463?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
1,2,2,19,0,0,1982185821,9781982185824,Simon & Schuster,The actress and filmmaker describes her eating disorders and difficult relationship with her mother.,0.00,I'M GLAD MY MOM DIED,Jennette McCurdy,by Jennette McCurdy,,https://storage.googleapis.com/du-prd/books/images/9781982185824.jpg,329,500,https://www.amazon.com/dp/1982185821?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
2,3,3,7,0,0,1250866448,9781250866448,Flatiron,"The actor, known for playing Chandler Bing on “Friends,” shares stories from his childhood and his struggles with sobriety.",0.00,"FRIENDS, LOVERS, AND THE BIG TERRIBLE THING",Matthew Perry,by Matthew Perry,,https://storage.googleapis.com/du-prd/books/images/9781250866448.jpg,329,500,https://www.amazon.com/dp/1250866448?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
3,4,5,7,0,0,0525521046,9780525521044,Knopf,"The lead singer of the Irish rock band U2 offers details of his life, career and activism.",0.00,SURRENDER,Bono,by Bono,,https://storage.googleapis.com/du-prd/books/images/9780525521044.jpg,338,500,https://www.amazon.com/dp/0525521046?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
4,5,7,8,0,0,0316441112,9780316441117,"Little, Brown",The Pulitzer Prize-winning biographer details Samuel Adams’s contributions to the American Revolution.,0.00,THE REVOLUTIONARY,Stacy Schiff,by Stacy Schiff,,https://storage.googleapis.com/du-prd/books/images/9780316441117.jpg,338,500,https://www.amazon.com/dp/0316441112?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
5,6,4,121,0,0,0143127748,9780143127741,Penguin,"How trauma affects the body and mind, and innovative treatments for recovery.",0.00,THE BODY KEEPS THE SCORE,Bessel van der Kolk,by Bessel van der Kolk,,https://storage.googleapis.com/du-prd/books/images/9780670785933.jpg,128,193,http://www.amazon.com/The-Body-Keeps-Score-Healing/dp/0670785938?tag=NYTBSREV-20,,https://www.nytimes.com/2018/10/18/books/review/how-to-rewire-your-traumatized-brain.html,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
6,7,6,9,0,0,0553393960,9780553393965,Random House,The Pulitzer Prize-winning biographer portrays the life of Abraham Lincoln.,0.00,AND THERE WAS LIGHT,Jon Meacham,by Jon Meacham,,https://storage.googleapis.com/du-prd/books/images/9780553393965.jpg,331,500,https://www.amazon.com/dp/0553393960?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
7,8,11,8,0,0,0525537112,9780525537113,Riverhead,The creator of the web comic “xkcd” and former NASA roboticist looks into hypothetical and oddball scenarios.,0.00,WHAT IF? 2,Randall Munroe,by Randall Munroe,,https://storage.googleapis.com/du-prd/books/images/9780525537113.jpg,385,500,https://www.amazon.com/dp/0525537112?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
8,9,10,7,0,0,1451648707,9781451648706,Simon & Schuster,"In a collection of more than 60 essays, the musician and winner of the Nobel Prize in Literature explores the nature of popular music.",0.00,THE PHILOSOPHY OF MODERN SONG,Bob Dylan,by Bob Dylan,,https://storage.googleapis.com/du-prd/books/images/9781451648706.jpg,402,500,https://www.amazon.com/dp/1451648707?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
9,10,9,8,0,0,1982117354,9781982117351,Scribner,The Pulitzer Prize-winning author chronicles the discovery of cells and describes how modern medicine uses them.,0.00,THE SONG OF THE CELL,Siddhartha Mukherjee,by Siddhartha Mukherjee,,https://storage.googleapis.com/du-prd/books/images/9781982117351.jpg,329,500,https://www.amazon.com/dp/1982117354?tag=NYTBSREV-20,,,,,,combined-print-and-e-book-nonfiction,"[2023, 1, 1]",January
