,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,0,0,0,0,1338846620,9781338846621,Scholastic,"The fourth book in the Cat Kid Comic Club series. After doing their chores, baby frogs work together to create more mini-comics.",0.00,COLLABORATIONS,Dav Pilkey,by Dav Pilkey,,https://storage.googleapis.com/du-prd/books/images/9781338846621.jpg,338,500,https://www.amazon.com/dp/1338846620?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
1,2,0,0,0,0,1338730894,9781338730890,Scholastic,The sixth book in the Wings of Fire graphic novel series; adapted by Barry Deutsch and Rachel Swirsky.,0.00,MOON RISING,Tui T. Sutherland.,by Tui T. Sutherland. Illustrated by Mike Holmes,Illustrated by Mike Holmes,https://storage.googleapis.com/du-prd/books/images/9781338730890.jpg,333,500,https://www.amazon.com/dp/1338730894?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
2,3,0,0,0,0,1974709930,9781974709939,VIZ Media,A poor young man who was betrayed by someone he once trusted discovers he has the power of a devil inside him.,0.00,"CHAINSAW MAN, VOL. 1",Tatsuki Fujimoto,by Tatsuki Fujimoto,,https://storage.googleapis.com/du-prd/books/images/9781974709939.jpg,333,499,https://www.amazon.com/Chainsaw-Man-Vol-1/dp/1974709930?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
3,4,0,0,0,0,1338801945,9781338801941,Scholastic,"The third book in the Cat Kid Comic Club series. Fame, fortune and creativity pull the members of the comic club in different directions.",0.00,ON PURPOSE,Dav Pilkey,by Dav Pilkey,,https://storage.googleapis.com/du-prd/books/images/9781338801941.jpg,338,500,https://www.amazon.com/dp/1338801945?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
4,5,0,0,0,0,1338680455,9781338680454,Scholastic,The 10th book in the Dog Man series. Can the power of love overcome the darkness and despair created by new villains?,0.00,MOTHERING HEIGHTS,Dav Pilkey,by Dav Pilkey,,https://storage.googleapis.com/du-prd/books/images/9781338680454.jpg,338,500,https://www.amazon.com/dp/1338680455?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
5,6,0,0,0,0,1338616072,9781338616071,Scholastic,The 12th book in the Baby-sitters Club graphic novel series. Jessi uses sign language with her charge.,0.00,JESSI'S SECRET LANGUAGE,Ann M. Martin.,by Ann M. Martin. Illustrated by Chan Chau,Illustrated by Chan Chau,https://storage.googleapis.com/du-prd/books/images/9781338616071.jpg,344,500,https://www.amazon.com/dp/1338616072?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
6,7,0,0,0,0,1338820532,9781338820539,Scholastic,The 16th book in the Bad Guys series. An oversharing bat and a guy with a mullet add to the weirdness.,0.00,THE BAD GUYS IN THE OTHERS?!,Aaron Blabey,by Aaron Blabey,,https://storage.googleapis.com/du-prd/books/images/9781338820539.jpg,395,500,https://www.amazon.com/dp/1338820532?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
7,8,0,0,0,0,1338535625,9781338535624,Scholastic,"The ninth book in the Dog Man series. After turning in his badge, the canine cop is determined not to just roll over.",0.00,GRIME AND PUNISHMENT,Dav Pilkey,by Dav Pilkey,,https://storage.googleapis.com/du-prd/books/images/9781338535624.jpg,338,500,https://www.amazon.com/dp/1338535625?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
8,9,0,0,0,0,1338616102,9781338616101,Scholastic,The 13th book in the Baby-sitters Club graphic novel series. Mary Anne receives a bad-luck charm in the mail with instructions to wear it.,0.00,MARY ANNE'S BAD LUCK MYSTERY,Ann M. Martin.,by Ann M. Martin. Illustrated by Cynthia Yuan Cheng,Illustrated by Cynthia Yuan Cheng,https://storage.googleapis.com/du-prd/books/images/9781338616101.jpg,344,500,https://www.amazon.com/dp/1338616102?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
9,10,0,0,0,0,1250815290,9781250815293,Celadon,"An illustrated memoir detailing Martin’s time as an actor, comedian, banjo player and more.",0.00,NUMBER ONE IS WALKING,Steve Martin.,by Steve Martin. Illustrated by Harry Bliss,Illustrated by Harry Bliss,https://storage.googleapis.com/du-prd/books/images/9781250815293.jpg,441,500,https://www.amazon.com/dp/1250815290?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
10,11,0,0,0,0,1974715469,9781974715466,VIZ Media,"A master spy must pass himself off as a family man to infiltrate a private school, but his new wife is an assassin and adopted child is a telepath.",0.00,"SPY X FAMILY, VOL. 1",Tatsuya Endo,by Tatsuya Endo,,https://storage.googleapis.com/du-prd/books/images/9781974715466.jpg,333,500,https://www.amazon.com/dp/1974715469?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
11,12,0,0,0,0,1974734390,9781974734399,VIZ Media,The action moves to an underground fight club where a suspended third-year student at Jujutsu High works as a bookie.,0.00,"JUJUTSU KAISEN, VOL. 18",Gege Akutami,by Gege Akutami,,https://storage.googleapis.com/du-prd/books/images/9781974734399.jpg,333,500,https://www.amazon.com/dp/1974734390?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
12,13,0,0,0,0,1338236598,9781338236590,Scholastic,The seventh book in the Dog Man series. A new villain has a bone to pick with Dog Man while Petey the Cat starts a new life.,0.00,FOR WHOM THE BALL ROLLS,Dav Pilkey,by Dav Pilkey,,https://storage.googleapis.com/du-prd/books/images/9781338236590.jpg,338,500,https://www.amazon.com/dp/1338236598?tag=NYTBSREV-20,,,,,,graphic-books-and-manga,"[2023, 1, 1]",January
