,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,0,0,0,0,0593157834,9780593157831,Vintage,The second book in the Whistler series. Investigator Lacy Stoltz goes after a serial killer and closes in on a sitting judge.,0.00,THE JUDGE'S LIST,John Grisham,by John Grisham,,https://storage.googleapis.com/du-prd/books/images/9780385546027.jpg,329,500,https://www.amazon.com/dp/0385546025?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
1,2,0,0,0,0,1538720752,9781538720752,Grand Central,"An N.Y.P.D. detective, a hedge fund chief executive and a psychology professor are wrapped up in the disappearance of a college student.",0.00,STEAL,James Patterson and Howard Roughan,by James Patterson and Howard Roughan,,https://storage.googleapis.com/du-prd/books/images/9781538703533.jpg,336,500,https://www.amazon.com/dp/1538703548?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
2,3,0,0,0,0,1984821601,9781984821607,Dell,The daughter of a couple in a loveless marriage is discovered by a British filmmaker and thrust into the public eye.,0.00,INVISIBLE,Danielle Steel,by Danielle Steel,,https://storage.googleapis.com/du-prd/books/images/9781984821584.jpg,333,500,https://www.amazon.com/dp/198482158X?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
3,4,0,0,0,0,1538719657,9781538719657,Grand Central,"Aloysius Archer, a World War II veteran, seeks to apprentice with Willie Dash, a private eye, in a corrupt California town.",0.00,A GAMBLING MAN,David Baldacci,by David Baldacci,,https://storage.googleapis.com/du-prd/books/images/9781538719671.jpg,331,500,https://www.amazon.com/dp/1538719673?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
4,5,0,0,0,0,1250771722,9781250771728,St. Martin's,The first book in the Dragon Heart Legacy series. Breen Kelly travels through a portal in Ireland to a land of faeries and mermaids.,0.00,THE AWAKENING,Nora Roberts,by Nora Roberts,,https://storage.googleapis.com/du-prd/books/images/9781250272614.jpg,329,500,https://www.amazon.com/dp/1250272610?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
5,6,0,0,0,0,0593185455,9780593185452,Dutton,The second book in the Frankie Elkin series. Frankie searches for a young man who went missing during a bachelor party camping trip.,0.00,ONE STEP TOO FAR,Lisa Gardner,by Lisa Gardner,,https://storage.googleapis.com/du-prd/books/images/9780593185414.jpg,331,500,https://www.amazon.com/dp/0593185412?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
6,7,0,0,0,0,0593599004,9780593599006,Ballantine,A South Carolina lawyer learns about the questionable practices of a Tennessee orphanage.,0.00,BEFORE WE WERE YOURS,Lisa Wingate,by Lisa Wingate,,https://storage.googleapis.com/du-prd/books/images/9780425284681.jpg,330,495,https://www.amazon.com/Before-We-Were-Yours-Novel/dp/0425284689?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
7,8,0,0,0,0,0786048948,9780786048946,Pinnacle,"The 50th book in the Mountain Man series. Smoke Jensen enlists the townspeople of Salt Lick, Texas, to protect their town from a blizzard and bandits.",0.00,CRUEL WINTER OF THE MOUNTAIN MAN,William W. Johnstone and J.A. Johnstone,by William W. Johnstone and J.A. Johnstone,,https://storage.googleapis.com/du-prd/books/images/9780786048946.jpg,306,500,https://www.amazon.com/dp/0786048948?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
8,9,0,0,0,0,0593439201,9780593439203,Berkley,The 14th book in the Leopard series. Desire arises when Meiling uses her strength to save a leopard shifter.,0.00,LEOPARD'S SCAR,Christine Feehan,by Christine Feehan,,https://storage.googleapis.com/du-prd/books/images/9780593439203.jpg,306,500,https://www.amazon.com/dp/0593439198?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
9,10,0,0,0,0,1335426027,9781335426024,Silhouette,Two romance stories: “Loving Jack” and “Lawless.”,0.00,WRITTEN IN THE STARS,Nora Roberts,by Nora Roberts,,https://storage.googleapis.com/du-prd/books/images/9781335426024.jpg,318,500,https://www.amazon.com/dp/1335426027?tag=NYTBSREV-20,,,,,,mass-market-monthly,"[2023, 1, 1]",January
