,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,0,0,0,0,1250144051,9781250144058,Square Fish,,0.00,WISH,Barbara O'Connor,by Barbara O'Connor,,https://storage.googleapis.com/du-prd/books/images/9781250144058.jpg,330,485,https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
1,2,0,0,0,0,006289594X,9780062895943,Greenwillow,,0.00,A WOLF CALLED WANDER,Rosanne Parry.,by Rosanne Parry. Illustrated by Mónica Armiño,Illustrated by Mónica Armiño,https://storage.googleapis.com/du-prd/books/images/9780062895936.jpg,328,495,https://www.amazon.com/Wolf-Called-Wander-Rosanne-Parry/dp/0062895931?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
2,3,0,0,0,0,0061992275,9780061992278,HarperCollins,,0.00,THE ONE AND ONLY IVAN,Katherine Applegate.,by Katherine Applegate. Illustrated by Patricia Castelao,Illustrated by Patricia Castelao,https://storage.googleapis.com/du-prd/books/images/9780061992278.jpg,330,466,http://www.amazon.com/The-Only-Ivan-Katherine-Applegate/dp/0061992275?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
3,4,0,0,0,0,0062991329,9780062991324,HarperCollins,,0.00,THE ONE AND ONLY BOB,Katherine Applegate.,by Katherine Applegate. Illustrated by Patricia Castelao,Illustrated by Patricia Castelao,https://storage.googleapis.com/du-prd/books/images/9780062991317.jpg,352,500,https://www.amazon.com/dp/0062991310?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
4,5,0,0,0,0,0593325427,9780593325421,Putnam,,0.00,MAP OF FLAMES,Lisa McMann,by Lisa McMann,,https://storage.googleapis.com/du-prd/books/images/9780593325407.jpg,334,500,https://www.amazon.com/dp/0593325400?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
5,6,0,0,0,0,0316382000,9780316382007,"Little, Brown",,0.00,THE WILD ROBOT,Peter Brown,by Peter Brown,,https://storage.googleapis.com/du-prd/books/images/9780316381994.jpg,330,491,http://www.amazon.com/The-Wild-Robot-Peter-Brown/dp/0316381993?tag=NYTBSREV-20,,https://www.nytimes.com/2016/04/10/books/review/the-wild-robot-by-peter-brown.html,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
6,7,0,0,0,0,006297517X,9780062975171,Balzer + Bray,,0.00,AMARI AND THE NIGHT BROTHERS,B.B. Alston,by B.B. Alston,,https://storage.googleapis.com/du-prd/books/images/9780062975164.jpg,331,500,https://www.amazon.com/dp/0062975161?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
7,8,0,0,0,0,0547577311,9780547577319,Clarion,,0.00,A LONG WALK TO WATER,Linda Sue Park,by Linda Sue Park,,https://storage.googleapis.com/du-prd/books/images/9780547577319.jpg,328,495,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
8,9,0,0,0,0,0062995936,9780062995933,Greenwillow,,0.00,A WHALE OF THE WILD,Rosanne Parry.,by Rosanne Parry. Illustrated by Lindsay Moore,Illustrated by Lindsay Moore,https://storage.googleapis.com/du-prd/books/images/9780062995933.jpg,333,500,https://www.amazon.com/dp/0062995936?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
9,10,0,0,0,0,0062377027,9780062377029,Balzer + Bray,,0.00,PAX,Sara Pennypacker.,Sara Pennypacker. Illustrated by Jon Klassen,Illustrated by Jon Klassen,https://storage.googleapis.com/du-prd/books/images/9780062377012.jpg,330,451,http://www.amazon.com/Pax-Sara-Pennypacker/dp/0062377019?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 1]",January
10,1,0,0,0,0,1250144051,9781250144058,Square Fish,,0.00,WISH,Barbara O'Connor,by Barbara O'Connor,,https://storage.googleapis.com/du-prd/books/images/9781250144058.jpg,330,485,https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
11,2,0,0,0,0,006289594X,9780062895943,Greenwillow,,0.00,A WOLF CALLED WANDER,Rosanne Parry.,by Rosanne Parry. Illustrated by Mónica Armiño,Illustrated by Mónica Armiño,https://storage.googleapis.com/du-prd/books/images/9780062895936.jpg,328,495,https://www.amazon.com/Wolf-Called-Wander-Rosanne-Parry/dp/0062895931?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
12,3,0,0,0,0,0061992275,9780061992278,HarperCollins,,0.00,THE ONE AND ONLY IVAN,Katherine Applegate.,by Katherine Applegate. Illustrated by Patricia Castelao,Illustrated by Patricia Castelao,https://storage.googleapis.com/du-prd/books/images/9780061992278.jpg,330,466,http://www.amazon.com/The-Only-Ivan-Katherine-Applegate/dp/0061992275?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
13,4,0,0,0,0,0062991329,9780062991324,HarperCollins,,0.00,THE ONE AND ONLY BOB,Katherine Applegate.,by Katherine Applegate. Illustrated by Patricia Castelao,Illustrated by Patricia Castelao,https://storage.googleapis.com/du-prd/books/images/9780062991317.jpg,352,500,https://www.amazon.com/dp/0062991310?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
14,5,0,0,0,0,0593325427,9780593325421,Putnam,,0.00,MAP OF FLAMES,Lisa McMann,by Lisa McMann,,https://storage.googleapis.com/du-prd/books/images/9780593325407.jpg,334,500,https://www.amazon.com/dp/0593325400?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
15,6,0,0,0,0,0316382000,9780316382007,"Little, Brown",,0.00,THE WILD ROBOT,Peter Brown,by Peter Brown,,https://storage.googleapis.com/du-prd/books/images/9780316381994.jpg,330,491,http://www.amazon.com/The-Wild-Robot-Peter-Brown/dp/0316381993?tag=NYTBSREV-20,,https://www.nytimes.com/2016/04/10/books/review/the-wild-robot-by-peter-brown.html,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
16,7,0,0,0,0,006297517X,9780062975171,Balzer + Bray,,0.00,AMARI AND THE NIGHT BROTHERS,B.B. Alston,by B.B. Alston,,https://storage.googleapis.com/du-prd/books/images/9780062975164.jpg,331,500,https://www.amazon.com/dp/0062975161?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
17,8,0,0,0,0,0547577311,9780547577319,Clarion,,0.00,A LONG WALK TO WATER,Linda Sue Park,by Linda Sue Park,,https://storage.googleapis.com/du-prd/books/images/9780547577319.jpg,328,495,http://www.amazon.com/Long-Walk-Water-Based-Story/dp/0547577311?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
18,9,0,0,0,0,0062995936,9780062995933,Greenwillow,,0.00,A WHALE OF THE WILD,Rosanne Parry.,by Rosanne Parry. Illustrated by Lindsay Moore,Illustrated by Lindsay Moore,https://storage.googleapis.com/du-prd/books/images/9780062995933.jpg,333,500,https://www.amazon.com/dp/0062995936?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
19,10,0,0,0,0,0062377027,9780062377029,Balzer + Bray,,0.00,PAX,Sara Pennypacker.,Sara Pennypacker. Illustrated by Jon Klassen,Illustrated by Jon Klassen,https://storage.googleapis.com/du-prd/books/images/9780062377012.jpg,330,451,http://www.amazon.com/Pax-Sara-Pennypacker/dp/0062377019?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 8]",January
20,1,0,0,0,0,1250144051,9781250144058,Square Fish,,0.00,WISH,Barbara O'Connor,by Barbara O'Connor,,https://storage.googleapis.com/du-prd/books/images/9781250144058.jpg,330,485,https://www.amazon.com/Wish-Barbara-OConnor/dp/1250144051?tag=NYTBSREV-20,,,,,,middle-grade-paperback-monthly,"[2023, 1, 15]",January
