,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,34,0,0,1492646318,9781492646310,Sourcebooks Jabberwocky,A tiny narrator dodges traps while making the Christmas rounds.,0.00,HOW TO CATCH AN ELF,Adam Wallace.,by Adam Wallace. Illustrated by Andy Elkerton,Illustrated by Andy Elkerton,https://storage.googleapis.com/du-prd/books/images/9781492646310.jpg,330,330,https://www.amazon.com/How-Catch-Elf-Adam-Wallace/dp/1492646318?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
1,2,2,379,0,0,0803736800,9780803736801,Dial,What to serve your dragon-guests.,0.00,DRAGONS LOVE TACOS,Adam Rubin.,by Adam Rubin. Illustrated by Daniel Salmieri,Illustrated by Daniel Salmieri,https://storage.googleapis.com/du-prd/books/images/9780803736801.jpg,330,330,http://www.amazon.com/Dragons-Love-Tacos-Adam-Rubin/dp/0803736800?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
2,3,9,342,0,0,0399255370,9780399255373,Philomel,Problems arise when Duncan’s crayons revolt.,0.00,THE DAY THE CRAYONS QUIT,Drew Daywalt.,by Drew Daywalt. Illustrated by Oliver Jeffers,Illustrated by Oliver Jeffers,https://storage.googleapis.com/du-prd/books/images/9780399255373.jpg,330,332,http://www.amazon.com/The-Crayons-Quit-Drew-Daywalt/dp/0399255370?tag=NYTBSREV-20,,,,https://www.nytimes.com/2013/08/25/books/review/henris-scissors-by-jeanette-winter-and-more.html,,picture-books,"[2023, 1, 1]",January
3,4,7,10,0,0,1728223555,9781728223551,Sourcebooks Wonderland,Little Red Sleigh dreams of becoming Santa's sleigh one day.,0.00,LITTLE RED SLEIGH,Erin Guendelsberger.,by Erin Guendelsberger. Illustrated by Elizaveta Tretyakova,Illustrated by Elizaveta Tretyakova,https://storage.googleapis.com/du-prd/books/images/9781728223551.jpg,411,500,https://www.amazon.com/dp/1728223555?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
4,5,3,37,0,0,1452139113,9781452139111,Chronicle,Construction vehicles build a firehouse in time for Christmas.,0.00,CONSTRUCTION SITE ON CHRISTMAS NIGHT,Sherri Duskey Rinker.,by Sherri Duskey Rinker. Illustrated by A.G. Ford,Illustrated by A.G. Ford,https://storage.googleapis.com/du-prd/books/images/9781452139111.jpg,330,312,https://www.amazon.com/Construction-Christmas-Sherri-Duskey-Rinker/dp/1452139113?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
5,6,4,332,0,0,0385376715,9780385376716,Random House,A celebration of future possibilities.,0.00,THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,by Emily Winfield Martin,,https://storage.googleapis.com/du-prd/books/images/9780385376716.jpg,330,347,http://www.amazon.com/The-Wonderful-Things-You-Will/dp/0385376715?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
6,7,6,7,0,0,0063045419,9780063045415,HarperCollins,"A grape hold grudges against everyone, then re-evaluates life when one is held against him.",0.00,THE SOUR GRAPE,Jory John and Pete Oswald,by Jory John and Pete Oswald,,https://storage.googleapis.com/du-prd/books/images/9780063045415.jpg,409,500,https://www.amazon.com/dp/0063045419?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
7,8,0,11,0,0,0358722829,9780358722823,Clarion,Blue and friends meet Chuck the woodchuck.,0.00,LITTLE BLUE TRUCK MAKES A FRIEND,Alice Schertle and Jill McElmurry,by Alice Schertle and Jill McElmurry,,https://storage.googleapis.com/du-prd/books/images/9780358722823.jpg,500,404,https://www.amazon.com/dp/0358722829?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
8,9,10,45,0,0,1492669733,9781492669739,Sourcebooks Wonderland,Children attempt to capture the mythical creature.,0.00,HOW TO CATCH A UNICORN,Adam Wallace.,by Adam Wallace. Illustrated by Andy Elkerton,Illustrated by Andy Elkerton,https://storage.googleapis.com/du-prd/books/images/9781492669739.jpg,330,330,https://www.amazon.com/How-Catch-Unicorn-Adam-Wallace/dp/1492669733?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
9,10,0,14,0,0,1454946865,9781454946861,Union Square Kids,The Pigeon goes through a series of emotions leading up to a roller coaster ride.,0.00,THE PIGEON WILL RIDE THE ROLLER COASTER!,Mo Willems,by Mo Willems,,https://storage.googleapis.com/du-prd/books/images/9781454946861.jpg,500,500,https://www.amazon.com/dp/1454946865?tag=NYTBSREV-20,,,,,,picture-books,"[2023, 1, 1]",January
