,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,718,0,0,141976294X,9781419762949,Amulet,The travails and challenges of adolescence.,0.00,DIARY OF A WIMPY KID,and   Jeff Kinney,written and illustrated by Jeff Kinney,written and illustrated by Jeff Kinney,https://storage.googleapis.com/du-prd/books/images/9781419711329.jpg,330,484,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
1,2,2,717,0,0,054579143X,9780545791434,Scholastic,A wizard hones his conjuring skills in the service of fighting evil.,0.00,HARRY POTTER,J.K. Rowling,by J.K. Rowling,,https://storage.googleapis.com/du-prd/books/images/9780590353427.jpg,328,495,http://www.amazon.com/Harry-Potter-And-Order-Phoenix/dp/0439358078?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
2,3,3,653,0,0,1484707230,9781484707234,Disney-Hyperion,A boy battles mythological monsters.,0.00,PERCY JACKSON & THE OLYMPIANS,Rick Riordan,by Rick Riordan,,https://storage.googleapis.com/du-prd/books/images/9781423131892.jpg,319,495,http://www.amazon.com/Titans-Curse-Percy-Jackson-Olympians/dp/1423101480?tag=NYTBSREV-20,,,,https://www.nytimes.com/2009/05/31/books/review/Devereaux-t.html,,series-books,"[2023, 1, 1]",January
3,4,4,64,0,0,1984896393,9781984896391,Delacorte,Pippa Fitz-Amobi solves murderous crimes.,0.00,A GOOD GIRL'S GUIDE TO MURDER,Holly Jackson,by Holly Jackson,,https://storage.googleapis.com/du-prd/books/images/9780593379851.jpg,331,500,https://www.amazon.com/dp/0593379853?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
4,5,6,312,0,0,0375813659,9780375813658,Stepping Stone/Random House,These siblings can overcome space and time.,0.00,MAGIC TREE HOUSE,Mary Pope Osborne.,by Mary Pope Osborne. Illustrated by Sal Murdocca,Illustrated by Sal Murdocca,https://storage.googleapis.com/du-prd/books/images/9780307980403.jpg,326,495,http://www.amazon.com/High-Tide-Hawaii-Magic-House/dp/0375806164?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
5,6,9,299,0,0,1338814494,9781338814491,Scholastic,Boys and their principal fight evil.,0.00,CAPTAIN UNDERPANTS,and   Dav Pilkey,written and illustrated by Dav Pilkey,written and illustrated by Dav Pilkey,https://storage.googleapis.com/du-prd/books/images/9780545175340.jpg,329,475,http://www.amazon.com/Captain-Underpants-Revolting-Radioactive-Robo-Boxers/dp/0545175364?tag=NYTBSREV-20,,https://www.nytimes.com/2011/06/29/books/review/childrens-books-super-diaper-baby-2-by-dav-pilkey.html,,,,series-books,"[2023, 1, 1]",January
6,7,5,35,0,0,1442498323,9781442498327,Simon & Schuster,"A beach house, summer love and enduring friendships.",0.00,THE SUMMER I TURNED PRETTY TRILOGY,Jenny Han,by Jenny Han,,https://storage.googleapis.com/du-prd/books/images/9781416995586.jpg,266,400,http://www.amazon.com/Well-Always-Summer-Turned-Pretty/dp/1416995587?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
7,8,7,194,0,0,0545855721,9780545855723,Scholastic,Only the five dragonets of destiny can unite the seven warring dragon tribes.,0.00,WINGS OF FIRE,Tui T. Sutherland,by Tui T. Sutherland,,https://storage.googleapis.com/du-prd/books/images/9780545349215.jpg,328,495,http://www.amazon.com/Wings-Fire-Book-Five-Brightest/dp/0545349222?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
8,9,10,16,0,0,0759555400,9780759555402,"Little, Brown",Avery Grambs tries to figure out why an inheritance from a stranger was bestowed upon her.,0.00,THE INHERITANCE GAMES,Jennifer Lynn Barnes,by Jennifer Lynn Barnes,,https://storage.googleapis.com/du-prd/books/images/9780316370950.jpg,333,500,https://www.amazon.com/dp/0316370959?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
9,10,8,123,0,0,0670016616,9780670016617,Viking,Jack and his friends fight for their lives through the zombie apocalypse.,0.00,THE LAST KIDS ON EARTH,Max Brallier.,by Max Brallier. Illustrated by Douglas Holgate,Illustrated by Douglas Holgate,https://storage.googleapis.com/du-prd/books/images/9780425288719.jpg,324,495,https://www.amazon.com/Last-Kids-Earth-Nightmare-King/dp/0425288714?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 1]",January
10,1,1,719,0,0,141976294X,9781419762949,Amulet,The travails and challenges of adolescence.,0.00,DIARY OF A WIMPY KID,and   Jeff Kinney,written and illustrated by Jeff Kinney,written and illustrated by Jeff Kinney,https://storage.googleapis.com/du-prd/books/images/9781419711329.jpg,330,484,http://www.amazon.com/Diary-Wimpy-Kid-Hard-Luck/dp/1419711326?tag=NYTBSREV-20,,,,,,series-books,"[2023, 1, 8]",January
