,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,9,0,0,1668001225,9781668001226,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",0.00,IT STARTS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg,322,500,https://www.amazon.com/dp/1668001225?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
1,2,2,85,0,0,1501110365,9781501110368,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,0.00,IT ENDS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,319,495,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
2,3,3,71,0,0,1538724731,9781538724736,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,0.00,VERITY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,324,500,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
3,4,4,73,0,0,1476753180,9781476753188,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,0.00,UGLY LOVE,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,128,198,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
4,5,5,90,0,0,0735219109,9780735219106,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",0.00,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,328,495,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
5,6,6,93,0,0,1501161938,9781501161933,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,0.00,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,315,500,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
6,7,7,57,0,0,1501110349,9781501110344,Atria,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,0.00,NOVEMBER 9,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg,318,495,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
7,8,9,70,0,0,125030170X,9781250301703,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,0.00,THE SILENT PATIENT,Alex Michaelides,by Alex Michaelides,,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,326,495,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
8,9,8,22,0,0,1476753164,9781476753164,Atria,"When a college student finds out her boyfriend is cheating on her, she turns her attention to her guitar-playing neighbor.",0.00,MAYBE SOMEDAY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753171.jpg,128,199,http://www.amazon.com/Maybe-Someday-Colleen-Hoover-ebook/dp/B00DPM7RJW?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
9,10,11,11,0,0,194563183X,9781945631832,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,0.00,THINGS WE NEVER GOT OVER,Lucy Score,by Lucy Score,,https://storage.googleapis.com/du-prd/books/images/9781945631832.jpg,313,500,https://www.amazon.com/dp/1728278872?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
10,11,10,21,0,0,1476791457,9781476791456,Atria,Auburn Reed falls for an artist with a troubled past.,0.00,CONFESS,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476791463.jpg,128,199,http://www.amazon.com/Confess-A-Novel-Colleen-Hoover-ebook/dp/B00LD1OHE0?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
11,12,14,6,0,0,1524798649,9781524798642,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,0.00,DAISY JONES & THE SIX,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781524798628.jpg,325,495,https://www.amazon.com/Daisy-Jones-Taylor-Jenkins-Reid/dp/1524798622?tag=NYTBSREV-20,,https://www.nytimes.com/2019/03/04/books/review/daisy-jones-six-taylor-jenkins-reid.html,,,,trade-fiction-paperback,"[2023, 1, 1]",January
12,13,12,35,0,0,1501193325,9781501193323,Atria,Quinn and Graham’s marriage depends on past promises.,0.00,ALL YOUR PERFECTS,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg,328,495,https://www.amazon.com/All-Your-Perfects-Colleen-Hoover-ebook/dp/B078MC547V?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
13,14,0,24,0,0,0593334833,9780593334836,Berkley,"While on vacation in North Carolina, a literary agent keeps running into an editor.",0.00,BOOK LOVERS,Emily Henry,by Emily Henry,,https://storage.googleapis.com/du-prd/books/images/9780593334836.jpg,332,500,https://www.amazon.com/dp/0593334833?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 1]",January
14,15,15,93,0,0,0062060627,9780062060624,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,0.00,THE SONG OF ACHILLES,Madeline Miller,by Madeline Miller,,https://storage.googleapis.com/du-prd/books/images/9780062060624.jpg,128,193,http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,trade-fiction-paperback,"[2023, 1, 1]",January
15,1,1,10,0,0,1668001225,9781668001226,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",0.00,IT STARTS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg,322,500,https://www.amazon.com/dp/1668001225?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
16,2,2,86,0,0,1501110365,9781501110368,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,0.00,IT ENDS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,319,495,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
17,3,3,72,0,0,1538724731,9781538724736,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,0.00,VERITY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,324,500,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
18,4,5,91,0,0,0735219109,9780735219106,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",0.00,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,328,495,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
19,5,4,74,0,0,1476753180,9781476753188,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,0.00,UGLY LOVE,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,128,198,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
20,6,6,94,0,0,1501161938,9781501161933,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,0.00,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,315,500,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
21,7,7,58,0,0,1501110349,9781501110344,Atria,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,0.00,NOVEMBER 9,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg,318,495,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
22,8,8,71,0,0,125030170X,9781250301703,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,0.00,THE SILENT PATIENT,Alex Michaelides,by Alex Michaelides,,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,326,495,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
23,9,9,23,0,0,1476753164,9781476753164,Atria,"When a college student finds out her boyfriend is cheating on her, she turns her attention to her guitar-playing neighbor.",0.00,MAYBE SOMEDAY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753171.jpg,128,199,http://www.amazon.com/Maybe-Someday-Colleen-Hoover-ebook/dp/B00DPM7RJW?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
24,10,11,22,0,0,1476791457,9781476791456,Atria,Auburn Reed falls for an artist with a troubled past.,0.00,CONFESS,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476791463.jpg,128,199,http://www.amazon.com/Confess-A-Novel-Colleen-Hoover-ebook/dp/B00LD1OHE0?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
25,11,13,36,0,0,1501193325,9781501193323,Atria,Quinn and Graham’s marriage depends on past promises.,0.00,ALL YOUR PERFECTS,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg,328,495,https://www.amazon.com/All-Your-Perfects-Colleen-Hoover-ebook/dp/B078MC547V?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
26,12,10,12,0,0,194563183X,9781945631832,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,0.00,THINGS WE NEVER GOT OVER,Lucy Score,by Lucy Score,,https://storage.googleapis.com/du-prd/books/images/9781945631832.jpg,313,500,https://www.amazon.com/dp/1728278872?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
27,13,15,94,0,0,0062060627,9780062060624,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,0.00,THE SONG OF ACHILLES,Madeline Miller,by Madeline Miller,,https://storage.googleapis.com/du-prd/books/images/9780062060624.jpg,128,193,http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,trade-fiction-paperback,"[2023, 1, 8]",January
28,14,12,7,0,0,1524798649,9781524798642,Ballantine,A fictional oral history charting the rise and fall of a ’70s rock ’n’ roll band.,0.00,DAISY JONES & THE SIX,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781524798628.jpg,325,495,https://www.amazon.com/Daisy-Jones-Taylor-Jenkins-Reid/dp/1524798622?tag=NYTBSREV-20,,https://www.nytimes.com/2019/03/04/books/review/daisy-jones-six-taylor-jenkins-reid.html,,,,trade-fiction-paperback,"[2023, 1, 8]",January
29,15,0,13,0,0,1668013347,9781668013342,Atria,"The third book in the Maybe Someday series. Maggie, Ridge and Sydney are forced to deal with the dynamics of their relationships.",0.00,MAYBE NOW,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668013342.jpg,322,500,https://www.amazon.com/dp/1668013347?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 8]",January
30,1,1,11,0,0,1668001225,9781668001226,Atria,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",0.00,IT STARTS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781668001226.jpg,322,500,https://www.amazon.com/dp/1668001225?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
31,2,2,87,0,0,1501110365,9781501110368,Atria,A battered wife raised in a violent home attempts to halt the cycle of abuse.,0.00,IT ENDS WITH US,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110375.jpg,319,495,http://www.amazon.com/Ends-Us-Novel-Colleen-Hoover-ebook/dp/B0176M3U10?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
32,3,3,73,0,0,1538724731,9781538724736,Grand Central,Lowen Ashleigh is hired by the husband of an injured writer to complete her popular series and uncovers a horrifying truth.,0.00,VERITY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781791392796.jpg,324,500,https://www.amazon.com/dp/1791392792?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
33,4,6,95,0,0,1501161938,9781501161933,Washington Square/Atria,A movie icon recounts stories of her loves and career to a struggling magazine writer.,0.00,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,by Taylor Jenkins Reid,,https://storage.googleapis.com/du-prd/books/images/9781501161933.jpg,315,500,https://www.amazon.com/dp/1501161938?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
34,5,5,75,0,0,1476753180,9781476753188,Atria,A casual sexual relationship between Tate and Miles becomes more complicated than they expected.,0.00,UGLY LOVE,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753195.jpg,128,198,http://www.amazon.com/Ugly-Love-Novel-Colleen-Hoover-ebook/dp/B00HB62MC0?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
35,6,8,72,0,0,125030170X,9781250301703,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,0.00,THE SILENT PATIENT,Alex Michaelides,by Alex Michaelides,,https://storage.googleapis.com/du-prd/books/images/9781250301697.jpg,326,495,https://www.amazon.com/Silent-Patient-Alex-Michaelides/dp/1250301696?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
36,7,12,13,0,0,194563183X,9781945631832,Bloom,A runaway bride becomes the guardian of her evil twin's daughter and gets some help from a bad-boy barber.,0.00,THINGS WE NEVER GOT OVER,Lucy Score,by Lucy Score,,https://storage.googleapis.com/du-prd/books/images/9781945631832.jpg,313,500,https://www.amazon.com/dp/1728278872?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
37,8,7,59,0,0,1501110349,9781501110344,Atria,Ben and Fallon meet on the same day each year but a possible untruth might spoil their relationship.,0.00,NOVEMBER 9,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501110351.jpg,318,495,http://www.amazon.com/November-9-Novel-Colleen-Hoover-ebook/dp/B00UDCI1S8?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
38,9,4,92,0,0,0735219109,9780735219106,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",0.00,WHERE THE CRAWDADS SING,Delia Owens,by Delia Owens,,https://storage.googleapis.com/du-prd/books/images/9780735219090.jpg,328,495,https://www.amazon.com/Where-Crawdads-Sing-Delia-Owens/dp/0735219095?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
39,10,9,24,0,0,1476753164,9781476753164,Atria,"When a college student finds out her boyfriend is cheating on her, she turns her attention to her guitar-playing neighbor.",0.00,MAYBE SOMEDAY,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781476753171.jpg,128,199,http://www.amazon.com/Maybe-Someday-Colleen-Hoover-ebook/dp/B00DPM7RJW?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
40,11,13,95,0,0,0062060627,9780062060624,Ecco,A reimagining of Homer’s “Iliad” that is narrated by Achilles' companion Patroclus.,0.00,THE SONG OF ACHILLES,Madeline Miller,by Madeline Miller,,https://storage.googleapis.com/du-prd/books/images/9780062060624.jpg,128,193,http://www.amazon.com/The-Song-Achilles-A-Novel/dp/0062060627?tag=NYTBSREV-20,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,https://www.nytimes.com/2012/04/29/books/review/the-song-of-achilles-by-madeline-miller.html,,trade-fiction-paperback,"[2023, 1, 15]",January
41,12,11,37,0,0,1501193325,9781501193323,Atria,Quinn and Graham’s marriage depends on past promises.,0.00,ALL YOUR PERFECTS,Colleen Hoover,by Colleen Hoover,,https://storage.googleapis.com/du-prd/books/images/9781501171604.jpg,328,495,https://www.amazon.com/All-Your-Perfects-Colleen-Hoover-ebook/dp/B078MC547V?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
42,13,0,41,0,0,0593336828,9780593336823,Berkley,A young professor agrees to pretend to be a third-year Ph.D. candidate’s boyfriend.,0.00,THE LOVE HYPOTHESIS,Ali Hazelwood,by Ali Hazelwood,,https://storage.googleapis.com/du-prd/books/images/9780593336823.jpg,333,500,https://www.amazon.com/dp/0593336828?tag=NYTBSREV-20,,,,,,trade-fiction-paperback,"[2023, 1, 15]",January
