,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,1,20,0,0,1368069606,9781368069601,Disney,"Sally, the new Queen of Halloween Town, must save her town from a sleeping curse.",0.00,LONG LIVE THE PUMPKIN QUEEN,Shea Ernshaw,by Shea Ernshaw,,https://storage.googleapis.com/du-prd/books/images/9781368084383.jpg,331,500,https://www.amazon.com/dp/1368069606?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
1,2,2,3,0,0,0593374169,9780593374160,Delacorte,Six friends on a spring break road trip in an R.V. are the target of a sniper.,0.00,FIVE SURVIVE,Holly Jackson,by Holly Jackson,,https://storage.googleapis.com/du-prd/books/images/9780593374160.jpg,331,500,https://www.amazon.com/dp/0593374169?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
2,3,3,11,0,0,0063240807,9780063240803,Quill Tree,"In this prequel to ""They Both Die at the End,"" Orion and Valentino attend the premier of Death-Cast in Times Square.",0.00,THE FIRST TO DIE AT THE END,Adam Silvera,by Adam Silvera,,https://storage.googleapis.com/du-prd/books/images/9780063240803.jpg,331,500,https://www.amazon.com/dp/0063240807?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
3,4,4,17,0,0,1419760866,9781419760860,Amulet,Every 100 years the island of Lightlark appears and a deadly competition called the Centennial takes place.,0.00,LIGHTLARK,Alex Aster,by Alex Aster,,https://storage.googleapis.com/du-prd/books/images/9781419760860.jpg,333,500,https://www.amazon.com/dp/1419760866?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
4,5,6,255,0,0,1524714682,9781524714680,Delacorte,"For five students, a detour into detention ends in murder.",0.00,ONE OF US IS LYING,Karen M. McManus,by Karen M. McManus,,https://storage.googleapis.com/du-prd/books/images/9781524714680.jpg,327,495,https://www.amazon.com/One-Us-Lying-Karen-McManus/dp/1524714682?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
5,6,5,3,0,0,0062665782,9780062665782,HarperTeen,Annika and Lennox are lovers on opposing sides of an impending war.,0.00,A THOUSAND HEARTBEATS,Kiera Cass,by Kiera Cass,,https://storage.googleapis.com/du-prd/books/images/9780062665782.jpg,331,500,https://www.amazon.com/dp/0062665782?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
6,7,9,23,0,0,0593485858,9780593485859,Delacorte,This prequel to “We Were Liars” focuses on Cady's mother and aunts as teenagers in 1987.,0.00,FAMILY OF LIARS,E. Lockhart,by E. Lockhart,,https://storage.googleapis.com/du-prd/books/images/9780593485859.jpg,330,500,https://www.amazon.com/dp/0593485858?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
7,8,8,6,0,0,1338830937,9781338830934,Scholastic,"Angel meets the front man of her favorite boy band, the Ark.",0.00,I WAS BORN FOR THIS,Alice Oseman,by Alice Oseman,,https://storage.googleapis.com/du-prd/books/images/9781338830934.jpg,333,500,https://www.amazon.com/dp/1338830937?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
8,9,10,28,0,0,133875193X,9781338751932,Scholastic,"Georgia, a British teenager, works on accepting her aro-ace identity.",0.00,LOVELESS,Alice Oseman,by Alice Oseman,,https://storage.googleapis.com/du-prd/books/images/9781338840292.jpg,333,500,https://www.amazon.com/dp/133875193X?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
9,10,7,6,0,0,1534441638,9781534441637,Simon & Schuster,"Bree and her friends go on the run to save her love, Nick.",0.00,BLOODMARKED,Tracy Deonn,by Tracy Deonn,,https://storage.googleapis.com/du-prd/books/images/9781534441637.jpg,330,500,https://www.amazon.com/dp/1534441638?tag=NYTBSREV-20,,,,,,young-adult-hardcover,"[2023, 1, 1]",January
