,rank,rank_last_week,weeks_on_list,asterisk,dagger,primary_isbn10,primary_isbn13,publisher,description,price,title,author,contributor,contributor_note,book_image,book_image_width,book_image_height,amazon_product_url,age_group,book_review_link,first_chapter_link,sunday_review_link,article_chapter_link,categories,list_publication_date,month
0,1,0,0,0,0,1101934743,9781101934746,Ember,,0.00,GIRL IN PIECES,Kathleen Glasgow,by Kathleen Glasgow,,https://storage.googleapis.com/du-prd/books/images/9781101934715.jpg,328,495,http://www.amazon.com/Girl-Pieces-Kathleen-Glasgow/dp/1101934719?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
1,2,0,0,0,0,1728205484,9781728205489,Sourcebooks Fire,,0.00,IF HE HAD BEEN WITH ME,Laura Nowlin,by Laura Nowlin,,https://storage.googleapis.com/du-prd/books/images/9781402277832.jpg,330,495,http://www.amazon.com/If-He-Had-Been-Me-ebook/dp/B00APIVOIE?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
2,3,0,0,0,0,0062457802,9780062457806,Quill Tree,,0.00,THEY BOTH DIE AT THE END,Adam Silvera,by Adam Silvera,,https://storage.googleapis.com/du-prd/books/images/9780062457790.jpg,327,495,https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
3,4,0,0,0,0,1728254205,9781728254203,Sourcebooks Fire,,0.00,SHE'S GONE,David Bell,by David Bell,,https://storage.googleapis.com/du-prd/books/images/9781728254203.jpg,333,500,https://www.amazon.com/dp/1728254205?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
4,5,0,0,0,0,0385741278,9780385741279,Ember,,0.00,WE WERE LIARS,E. Lockhart,by E. Lockhart,,https://storage.googleapis.com/du-prd/books/images/9780375984402.jpg,128,194,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=NYTBSREV-20,,,,https://www.nytimes.com/2014/05/11/books/review/we-were-liars-by-e-lockhart.html,,young-adult-paperback-monthly,"[2023, 1, 1]",January
5,6,0,0,0,0,1534467637,9781534467637,Simon & Schuster,,0.00,BETTER THAN THE MOVIES,Lynn Painter,by Lynn Painter,,https://storage.googleapis.com/du-prd/books/images/9781534467637.jpg,333,500,https://www.amazon.com/dp/1534467637?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
6,7,0,0,0,0,1481449362,9781481449366,Margaret K. McElderry,,0.00,THE WAY I USED TO BE,Amber Smith,by Amber Smith,,https://storage.googleapis.com/du-prd/books/images/9781481449359.jpg,324,495,http://www.amazon.com/The-Way-I-Used-Be/dp/1481449354?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
7,8,0,0,0,0,1974732525,9781974732524,Viz Media,,0.00,DEMON SLAYER: KIMETSU NO YAIBA--THE FLOWER OF HAPPINESS,Aya Yajima.,by Aya Yajima. Illustrated by Koyoharu Gotouge,Illustrated by Koyoharu Gotouge,https://storage.googleapis.com/du-prd/books/images/9781974732524.jpg,333,500,https://www.amazon.com/dp/1974732525?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
8,9,0,0,0,0,1534441611,9781534441613,Margaret K. McElderry,,0.00,LEGENDBORN,Tracy Deonn,by Tracy Deonn,,https://storage.googleapis.com/du-prd/books/images/9781534441606.jpg,328,500,https://www.amazon.com/dp/1534441603?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 1]",January
9,10,0,0,0,0,0375842209,9780375842207,Knopf,,0.00,THE BOOK THIEF,Markus Zusak,by Markus Zusak,,https://storage.googleapis.com/du-prd/books/images/9780375842207.jpg,321,495,http://www.amazon.com/The-Book-Thief-Markus-Zusak/dp/0375842209?tag=NYTBSREV-20,,https://www.nytimes.com/2006/03/27/books/27masl.html,,https://www.nytimes.com/2006/05/14/books/review/14greenj.html,,young-adult-paperback-monthly,"[2023, 1, 1]",January
10,1,0,0,0,0,1101934743,9781101934746,Ember,,0.00,GIRL IN PIECES,Kathleen Glasgow,by Kathleen Glasgow,,https://storage.googleapis.com/du-prd/books/images/9781101934715.jpg,328,495,http://www.amazon.com/Girl-Pieces-Kathleen-Glasgow/dp/1101934719?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
11,2,0,0,0,0,1728205484,9781728205489,Sourcebooks Fire,,0.00,IF HE HAD BEEN WITH ME,Laura Nowlin,by Laura Nowlin,,https://storage.googleapis.com/du-prd/books/images/9781402277832.jpg,330,495,http://www.amazon.com/If-He-Had-Been-Me-ebook/dp/B00APIVOIE?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
12,3,0,0,0,0,0062457802,9780062457806,Quill Tree,,0.00,THEY BOTH DIE AT THE END,Adam Silvera,by Adam Silvera,,https://storage.googleapis.com/du-prd/books/images/9780062457790.jpg,327,495,https://www.amazon.com/They-Both-Die-at-End/dp/0062457799?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
13,4,0,0,0,0,1728254205,9781728254203,Sourcebooks Fire,,0.00,SHE'S GONE,David Bell,by David Bell,,https://storage.googleapis.com/du-prd/books/images/9781728254203.jpg,333,500,https://www.amazon.com/dp/1728254205?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
14,5,0,0,0,0,0385741278,9780385741279,Ember,,0.00,WE WERE LIARS,E. Lockhart,by E. Lockhart,,https://storage.googleapis.com/du-prd/books/images/9780375984402.jpg,128,194,http://www.amazon.com/We-Were-Liars-E-Lockhart-ebook/dp/B00FPOSDGY?tag=NYTBSREV-20,,,,https://www.nytimes.com/2014/05/11/books/review/we-were-liars-by-e-lockhart.html,,young-adult-paperback-monthly,"[2023, 1, 8]",January
15,6,0,0,0,0,1534467637,9781534467637,Simon & Schuster,,0.00,BETTER THAN THE MOVIES,Lynn Painter,by Lynn Painter,,https://storage.googleapis.com/du-prd/books/images/9781534467637.jpg,333,500,https://www.amazon.com/dp/1534467637?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
16,7,0,0,0,0,1481449362,9781481449366,Margaret K. McElderry,,0.00,THE WAY I USED TO BE,Amber Smith,by Amber Smith,,https://storage.googleapis.com/du-prd/books/images/9781481449359.jpg,324,495,http://www.amazon.com/The-Way-I-Used-Be/dp/1481449354?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
17,8,0,0,0,0,1974732525,9781974732524,Viz Media,,0.00,DEMON SLAYER: KIMETSU NO YAIBA--THE FLOWER OF HAPPINESS,Aya Yajima.,by Aya Yajima. Illustrated by Koyoharu Gotouge,Illustrated by Koyoharu Gotouge,https://storage.googleapis.com/du-prd/books/images/9781974732524.jpg,333,500,https://www.amazon.com/dp/1974732525?tag=NYTBSREV-20,,,,,,young-adult-paperback-monthly,"[2023, 1, 8]",January
